,invoice_id,city,product_category,unit_price,quantity,total,type_of_payment,purchase_date,year,month,weekday,time,customer_type,gender,rating
0,750-67-8428,Yangon,Health and beauty,74.69,7,548.9715,Ewallet,2019-01-05,2019,1,5,13:08,Member,Female,9.1
1,226-31-3081,Naypyitaw,Electronic accessories,15.28,5,80.22,Cash,2019-03-08,2019,3,4,10:29,Normal,Female,9.6
2,631-41-3108,Yangon,Home and lifestyle,46.33,7,340.5255,Credit card,2019-03-03,2019,3,6,13:23,Normal,Male,7.4
3,123-19-1176,Yangon,Health and beauty,58.22,8,489.048,Ewallet,2019-01-27,2019,1,6,20:33,Member,Male,8.4
4,373-73-7910,Yangon,Sports and travel,86.31,7,634.3785,Ewallet,2019-02-08,2019,2,4,10:37,Normal,Male,5.3
5,699-14-3026,Naypyitaw,Electronic accessories,85.39,7,627.6165,Ewallet,2019-03-25,2019,3,0,18:30,Normal,Male,4.1
6,355-53-5943,Yangon,Electronic accessories,68.84,6,433.692,Ewallet,2019-02-25,2019,2,0,14:36,Member,Female,5.8
7,315-22-5665,Naypyitaw,Home and lifestyle,73.56,10,772.38,Ewallet,2019-02-24,2019,2,6,11:38,Normal,Female,8.0
8,665-32-9167,Yangon,Health and beauty,36.26,2,76.146,Credit card,2019-01-10,2019,1,3,17:15,Member,Female,7.2
9,692-92-5582,Mandalay,Food and beverages,54.84,3,172.746,Credit card,2019-02-20,2019,2,2,13:27,Member,Female,5.9
10,351-62-0822,Mandalay,Fashion accessories,14.48,4,60.816,Ewallet,2019-02-06,2019,2,2,18:07,Member,Female,4.5
11,529-56-3974,Mandalay,Electronic accessories,25.51,4,107.142,Cash,2019-03-09,2019,3,5,17:03,Member,Male,6.8
12,365-64-0515,Yangon,Electronic accessories,46.95,5,246.4875,Ewallet,2019-02-12,2019,2,1,10:25,Normal,Female,7.1
13,252-56-2699,Yangon,Food and beverages,43.19,10,453.495,Ewallet,2019-02-07,2019,2,3,16:48,Normal,Male,8.2
14,829-34-3910,Yangon,Health and beauty,71.38,10,749.49,Cash,2019-03-29,2019,3,4,19:21,Normal,Female,5.7
15,299-46-1805,Mandalay,Sports and travel,93.72,6,590.436,Cash,2019-01-15,2019,1,1,16:19,Member,Female,4.5
16,656-95-9349,Yangon,Health and beauty,68.93,7,506.6355,Credit card,2019-03-11,2019,3,0,11:03,Member,Female,4.6
17,765-26-6951,Yangon,Sports and travel,72.61,6,457.443,Credit card,2019-01-01,2019,1,1,10:39,Normal,Male,6.9
